actual,test
7334250.0,3799836.4862619275
10775.0,26756.913633455937
2968710.0,3189012.9173838804
68082.0,69587.37074302006
3306272.0,4072838.4789242833
10066098.0,5192250.0
9170621.0,7887539.44225786
12621168.0,9467008.823364673
5040804.0,5944166.151929154
72758.0,139764.27553059495
2050875.0,534869.8528105537
7629388.0,11342409.3239406
1302871.0,4003756.3948754184
33858.0,1220326.4881845869
9202458.0,8266036.938135947
9516931.0,6995501.733058223
7798482.0,4974902.527306186
3979146.0,5982470.859666149
15285318.0,10694058.952897377
1933909.0,5848330.761859999
558812.0,588792.7923654616
2131287.0,3256955.014292887
7292384.0,9488233.438343065
13289976.0,22471874.317134403
876850.0,4490822.642144481
20544846.0,16045609.955092309
3488406.0,3687670.761346275
11562963.0,11048267.735362992
1274280.0,5638628.302800596
33642.0,101556.0
9243066.0,6063282.342589483
5906360.0,4986716.845809418
8677901.82,9957427.92460355
4138422.0,5974758.927921457
21935676.0,17441601.796722565
8945538.0,11078980.721518159
13516774.0,14038100.13109856
11305644.0,13306995.22547207
8994258.0,9290262.868855737
1032562.0,1353506.7343360966
3387174.0,4635457.466574224
8632160.0,11155302.09706143
385410.0,5794403.108072858
3360513.0,5309254.519926855
17298414.0,16188065.839678247
6284334.0,6738350.145357367
13002041.0,12585983.31689898
157859.0,1064363.704647613
1101684.0,3462415.603987044
2476483.0,1807137.4310262452
850689.0,4633054.994056682
3604363.0,3226973.4972072085
4981494.0,5643208.881603678
6525544.0,4210060.755036559
361599.0,410831.9627055709
52360.0,51325.0
14028.0,3010743.410436867
7081998.0,7737322.786598958
64596.0,60058.86719114186
15911624.32,679430.2310867155
140448.0,1068167.6200277624
0.0,6396914.50421765
8706.0,9560934.9487727
7620715.0,8356731.021630822
848569.0,3118451.5032804157
23232298.0,22609879.839779068
3645198.0,4682537.814804435
36110.0,702293.7961573846
2788842.0,3608073.0016967705
17426149.0,43879490.44746808
109746.0,109746.0
5768.0,5606.0029734453965
1528904.0,1731888.0
10361106.0,8760295.42175367
15305930.0,14184233.126751285
53920.0,54688.14771638244
3700029.0,4919472.521322532
131727.0,171600.30295106387
270396.0,633733.032413616
3989748.0,4465110.98540988
5606117.0,6393621.666479865
13944162.0,15939608.799842503
16000.0,16336.303156070262
1481265.0,4117053.1346783624
824938.0,3112202.2545580147
3139626.0,2721232.79825875
2474430.0,2972106.5658481712
2074926.0,1973375.9410031957
49851.0,4491744.8474819
7961592.0,8679599.751679055
5671361.0,3992208.651743457
133787.0,71601.59633950685
2355004.0,2354452.809119897
8135946.0,5485394.115569066
2165579.0,5604839.998041745
5388222.0,6294298.1487145275
5350.0,6306.569708760745
52507.0,67373.90450887698
4084080.0,588762.3982820394
10606974.0,9670665.27335466
12740154.0,13067648.157205008
3311280.0,3658139.104402869
2269833.44604317,2231345.0669562146
4504143.0,4604857.662319542
3936412.0,3592987.2382378015
29062866.0,26197504.904903088
7175188.0,6742036.480843056
136416.0,2072388.0794440121
3801386.0,2975293.425905234
10561878.0,12483235.957960062
7755384.0,7830835.000671175
20438237.0,2929460.002401459
26576256.0,4910897.096090221
19914886.0,1632304.4022680905
2053793.0,7003690.773389612
6826.0,9792.138934303406
8256314.0,6216769.053538572
143749.0,2650716.5461421045
21144480.0,18355675.529646013
1384673.0,6289028.51413912
822570.0,507738.988631545
8973678.0,8389462.096178258
3232926.0,3442700.005455874
7866978.0,6964699.5322795
8310466.92,13214893.530893914
7890966.0,8584142.338864645
4851462.0,4312806.388117824
5000.0,80214.7340893069
1479324.0,2978091.151035541
295588.0,4564665.939857317
7504308.0,6910274.252845522
27886320.0,15920150.548675219
1920030.0,2721139.2392303455
11248692.0,11350427.401573297
84042.0,128137.57011578225
5887.0,5862.706598080531
1741782.0,6423727.244866084
6770652.0,6295038.122508918
20314.0,764639.1386863525
118230.0,116368.6265556424
5114298.0,20588085.912833497
629664.0,8694444.319139574
4300.0,1442341.5130426753
1841196.0,1941849.0
8841504.0,4843719.266691419
21905.0,342525.848069442
112085.0,317858.80235261476
3612147.0,4071670.2549435236
16000.0,16000.000000000002
2225103.0,2289339.1176619073
6573709.0,6918465.594879421
121069.0,5912231.2207447225
4759920.0,4524619.435989703
854469.0,854469.0
788088.0,3117070.5296951747
2316930.0,1941141.960179007
1595034.0,3628043.9027569825
1967086.0,4805889.644350454
86134.0,112617.84359655295
11088.0,61144.77322697188
112140.0,117439.07461069584
8025442.0,2063527.2666547103
275184.0,6503978.054309919
1922093.0,2450979.2323985375
117306.0,169398.753248087
3400845.0,3713754.9456048766
247681.0,308665.8310619115
336000.0,336000.0
3407922.0,4514057.846566449
14018172.0,10685176.711785069
5353663.0,7736766.721296881
70518.0,75472.3929151628
2462541.0,2641587.646965526
146779.0,1868009.832409915
852516.0,968263.885651855
2487530.0,1539563.0
7955823.0,7835546.403583858
4799200.0,5880126.962258924
144297.0,160496.76159603338
17093413.0,6678190.3232106315
2128489.0,4507727.549161725
9727368.0,5927589.581468135
1560361.0,2136244.0623358553
178752.0,1074918.2957686777
7002819.0,11994073.268744316
4893630.0,3588749.296507191
1077144.0,1043837.940158749
5681340.0,5835332.176995245
8867586.0,2729829.7533218227
10735326.0,9709511.503149288
884478.0,94700.0
22051.0,22918.25382028019
3508920.0,3445273.640296891
1048844.0,661949.6048045221
60438.0,94622.78208559201
362888.0,3195616.5857172175
5899307.0,8146560.0
11744593.0,9498820.729714284
2290218.0,4051478.1215741383
4999117.0,4909385.6854126165
5544251.0,5456328.691893613
5780797.0,5841893.1979047265
2303112.0,2377743.2287878557
1816626.0,1808415.5347008824
11978320.0,8328591.479311817
5782.0,6173.104368686771
6642248.0,5480232.406881153
4352654.0,4564383.480043664
8071780.0,2695135.3953187633
6027015.0,14292425.87163711
1480836.0,4417939.738851145
3094920.0,2031614.7257891784
1092845.0,1597328.4441773086
391708.0,433969.7429090693
702450.0,6758471.828880383
20530166.0,6055724.139623531
1799868.0,1740639.787949272
145613.0,774767.0
95185.0,334041.68982632423
266347.0,179674.90417504645
143962.0,16152572.111176582
3023789.0,9294218.808555603
42277.0,78720.94549556961
5483884.0,14612888.27110526
6488454.0,6597156.354439728
128814.0,125128.48436440404
2632056.0,2723834.092406338
8868335.0,10518971.488028012
16000.0,15999.999999999998
814254.0,1016494.6934904959
9102870.0,8743358.628580403
49980.0,1336150.6736911926
8295336.0,9475857.636209553
2138481.0,248291.2684679258
18099690.0,15345613.986522464
1804701.0,1993018.5481760218
368000.0,447113.32991418533
16588362.0,14942176.275598967
7473805.0,10505263.003885804
3773196.0,4344284.971322396
3673447.0,6931120.3814779045
9036491.0,6466058.347484903
14431032.0,13839615.650111696
149310.0,4380455.432936591
5905368.0,6079212.806928175
2472078.0,1886840.6009133034
2242380.0,2981107.3916749964
4746.0,100612.23621006962
659610.0,6491233.406172904
20679708.0,18808572.541724354
4436678.0,4164441.8714592573
55146.0,70596.31966269773
15209931.0,13498156.434650743
488880.0,495927.2591509059
9418710.0,8759632.864453226
2285577.0,2449767.5787902046
4970.0,18980.79108738536
595597.0,437969.9295011876
5275969.02,4536283.35400988
2680423.0,2680423.0
2418803.75,1454279.575446307
11102826.0,10945824.30350122
3696840.0,2100353.4107423853
588294.0,1359990.7750596146
21840.0,63485.92635946709
2843933.0,1753044.898662886
10613400.0,11515823.929956125
1572349.0,3203076.5975716147
1461465.0,3032252.899412119
95466.0,119224.53661435767
13391826.0,10640368.28237997
4753703.0,5289468.306896749
115206.0,1159967.8701806925
124000.0,5839057.918682227
2378532.0,6521704.5639188
16926.0,16250.894478471864
1822547.0,1997286.6294257198
16634478.0,16077870.088550266
8356320.0,12481538.839063585
9163686.0,5653377.905130704
80556.0,83791.57571691672
192100.0,476100.5543499158
290702.0,291839.5203077042
9055620.0,9482540.856337583
78178.0,445826.6203122183
600368.0,671198.0356457143
719925.0,719925.0
5189566.0,5511857.042730721
1915368.0,1702845.4288907591
12239705.0,9376396.90522963
85092.0,74368.70296102185
201369.0,552032.1965948044
4370731.0,4105118.6109488867
622356.0,1328569.3417188015
1583053.0,2209702.807575522
5520825.0,5274735.765936962
3958420.0,2437853.181380659
3582180.0,7426192.110323273
8829871.0,9524195.977207238
3412668.0,3592369.55473866
5695071.0,7518431.956043201
5519.0,6234.880673515033
4597866.0,4849891.205075137
370314.0,4780629.378663567
813692.0,13109138.339108808
7985166.0,8902178.009602768
12374544.0,10245171.020368587
3077097.0,3239677.2356842426
1551018.0,1358782.6701386066
64974.0,35184.35247283526
2574033.0,2821455.5648326864
20941963.0,25878345.524513964
19159097.0,18783738.973044515
1858567.0,1854808.0
8678292.0,8197547.145836669
66024.0,612412.9934428411
49518.0,547881.2606053555
83344.0,85806.0
14293276.0,7857007.151922287
7410496.0,6013205.036889013
803263.0,3412335.2701884517
6056022.0,5834865.95924063
3926286.0,4509808.040935595
1382747.0,2587332.2231076527
6233285.0,6806342.449698821
26667194.0,20043188.161401622
14822850.0,17187699.451306578
170601.0,8608825.661487404
7897974.0,7959344.684025011
6923868.0,3099582.155795466
4574821.0,6206052.217444509
159261.0,167388.54491462169
97692.0,72020.40264644656
22210.0,2658679.393117934
1124890.0,1613606.1385460175
19204515.96,14301928.401358232
8281476.0,6653211.71438355
3817884.0,4042251.8574540527
1772358.0,2674306.9055991783
1179993.0,4549348.204989508
2031120.0,4077629.5242579808
3650796.0,3152809.521324712
14970606.0,14970606.0
1400902.0,9308727.338568846
7146048.0,9585090.855735807
21632016.0,11521464.96491678
11876937.0,11791915.173966117
16000.0,16000.0
5535.0,5785.95567992938
20593379.0,17787772.139294386
13178124.0,11625179.94915273
16593068.0,3493600.466092991
3320721.0,3263000.388281731
4378513.0,3653208.540678971
75726.0,96802.08787464003
1606920.0,3557413.7355002984
3700688.0,3675283.124702821
12738002.0,4842688.203863456
23222850.0,7737208.941805913
4390361.0,6430338.045321815
17540676.0,25340214.243164495
6837012.0,8125346.754758622
1764882.0,2713559.9118357617
951006.0,1332982.769301858
1978872.0,6921721.805829302
4698414.0,7368818.572628395
5098537.0,5485400.178408159
688283.0,2961919.7675539483
230328.0,392999.8644178493
2215105.0,2172399.683815619
2120118.0,2072733.1826926924
2695075.0,2691509.9087155783
7719723.0,6769407.142053231
4744374.0,3816290.9480491043
9548231.0,7546357.443134306
8006933.0,4862878.149020759
4129658.0,4743242.579977861
22073898.0,12182366.70618213
2259054.0,3718974.254304101
11467436.0,4888051.497277874
5609808.0,4586743.516121078
1081206.0,2756979.314666625
105588.0,98623.53192516604
85350.0,194538.71537916196
9222176.0,4807865.58887978
154812.0,1677591.5211752905
10385912.0,10950283.738098944
1221305.0,5887939.520118606
9178770.0,7558425.703366513
1929900.0,1894309.5620789777
108990.0,109136.95675977955
85565.0,90812.24397312009
10080.0,8736.0
564258.0,5651051.957420935
10000000.0,3127258.6826702226
1677060.0,4124594.56373704
13929.0,13301.28792783718
149898.0,3018241.778254479
324834.0,1028466.0642765799
8709834.0,10597890.383764645
286608.0,849655.0070611964
6789846.0,6838582.54456538
12261900.0,7193261.4112858195
1578000.0,2590183.5841658665
1150437.0,756894.8915769263
4779718.0,5506535.365195076
10112130.0,4550233.339999067
304294.0,3390869.1094884747
23299425.0,24792003.599545233
4897116.0,4456636.547584915
181167.0,175093.25565056156
10029498.0,9517751.386607226
3890539.0,4804161.755900595
8963268.0,11857077.555482032
6265963.0,6664171.412823533
2180012.0,1522325.7130358906
11738076.0,11626199.4547721
5428319.0,1162562.399000725
2958526.0,4204680.472525117
2281642.0,11699511.598079728
3989147.0,11649858.609790865
6773676.0,9500291.374899419
77654.0,121874.90045936345
20287718.0,4058159.7593679214
8147328.0,9192650.282603968
7896924.0,6961585.235380306
4713406.0,4679012.64790406
363321.0,360252.73932500556
5364996.0,6470945.350136501
3797283.0,5105224.109804428
7305148.0,2087486.908265086
6471436.0,5784070.916268384
4470771.0,11907117.487059936
78330.0,1828061.1379605194
19717171.0,15287505.285210254
1227219.0,3395515.454183177
279964.0,210567.82487683924
232000.0,4431049.67021546
37254.0,50711.886214413156
22941.0,23391.518099638022
1076777.0,987546.4610307114
1986558.0,5256498.25939134
2267622.0,7423916.335590783
1513092.0,12307165.499390498
13834884.0,11365808.880382774
11551764.0,2804152.135757101
6112218.0,6462669.010836215
717200.0,482648.0
24279182.0,22854853.37743273
21504.0,23654.223895977557
603192.0,604965.8046306794
737226.0,4596380.366846569
1736532.0,1224328.6520147102
507187.0,3860215.453639594
3094221.0,7949555.540974151
525155.0,66074.02570483973
4641792.0,5321291.41094614
54653.0,65792.86877469072
7126098.0,7169801.2961408645
2327346.0,3487384.5185581404
1116280.0,1740939.7856524407
8070258.0,7642791.71436669
2441418.0,19561610.044755477
38215.0,87378.92424102117
11608254.0,10865328.804028958
3763746.0,4125687.0032368232
12584977.0,12330649.563338282
7642920.6,2381222.2453197194
1430987.0,1901175.6485506399
7291029.0,6370479.696908494
1499359.0,1818199.7879130684
1719895.0,7395112.261313561
12161575.0,10076004.51625359
2473655.0,3253023.941172961
7659960.0,9460896.91646429
16968.0,18726.431584735634
95035.0,10621276.232035127
13893621.84,12488009.668368405
8963.0,1923982.3459043368
9219942.0,7742620.282604168
7692438.0,5106834.919904304
3292086.0,3814920.7598517598
1552362.0,3726671.9091571746
717889.0,717889.0
120048.0,136512.66862937534
6177064.0,6123549.3119200785
7509012.0,7998764.496382357
5117281.0,5238172.21745438
600104.0,9028471.52261701
2306277.0,7869097.737644427
679350.0,1495513.070759413
198000.0,278671.9016076755
5923218.0,12462974.285485186
2367162.0,2123907.1636303915
426258.0,992270.7174109243
24518806.0,7740770.306447729
1700608.0,1612797.6811929555
7839552.0,5893800.697148054
3439098.75,3980618.4420488114
5693980.0,7471621.775819421
86069.0,114092.47010394119
4300015.0,4466370.47245653
76870.0,8116682.720287314
15443022.0,7754243.933492406
5406660.0,7530825.862731955
7719468.0,8057414.957430432
5109392.0,4301265.974866098
7918804.0,6436203.558625006
263458.0,337363.29139850184
2394353.0,1146406.8565513247
44257.0,37657.472008845674
3600744.0,2349627.5232670824
2975706.0,2773683.8225114224
6837054.0,6796866.728423371
34155262.0,12723161.945517033
2026458.0,3571827.2437129626
3228964.0,4003405.8295800188
15004710.0,13536951.823418897
12348.0,121765.59169357571
26090652.0,26090652.0
5006918.0,4774713.275630537
336108.0,3606872.3399806167
1972404.0,2974624.5522050443
1789834.0,1833936.2035380192
1624940.0,1430138.3888723713
8327340.0,4979483.057495103
14659043.0,6232334.095581701
62370.0,69869.06398450297
12121704.0,10060475.309609078
11857712.0,10629980.459587354
1205190.0,10120104.638648713
1093176.0,1354734.9498913458
2757155.0,3691293.951545844
8729830.0,9489032.85795523
3157872.0,5105368.467835232
552947.0,335419.10729523597
4019904.0,2791108.941898262
15776068.0,14773507.580277422
5265795.0,8151317.301997702
10354.0,332370.22620244446
8690682.0,9751252.20311978
8836172.0,5524534.094147334
91980.0,84949.2335485251
9208206.0,7259315.464678409
15003366.0,13619295.831320543
1324890.0,1236238.0535709735
1428378.0,1776406.3673525222
1449420.0,4994786.216787973
10300920.0,7135128.741087383
13406033.0,19708687.654980958
116340.0,116708.9761115125
10681314.0,10718190.0
3578096.0,3462654.3388242084
3326051.0,2445292.218808441
1983366.0,1796966.3989599168
8153727.0,7444112.757046807
7077966.0,4085851.4471121076
8480430.0,8480430.0
2424997.0,4313710.929689376
9912084.0,8504889.244842676
3002431.5,3374363.922654716
13149141.0,7910429.255242356
5228202.0,4200789.581980112
2206470.0,7282295.972831149
3718309.0,2995635.226071492
